event_id,deck_id,player_name,rank
,deck_1,sonal83,
,deck_2,badgods,
,deck_3,Fleetwheels,
,deck_4,FaganH,
,deck_5,DirtySeaThief,
,deck_6,Violet_Starmine,
,deck_7,bubblywubblytubbler,
,deck_8,Arets77,
,deck_9,ODlS,
,deck_10,jiugong,
,deck_11,MultiformatSuperstar,
,deck_12,hanshq,
,deck_13,e0068,
,deck_14,Hot_Muffin,
,deck_15,cgouldner,
,deck_16,Sixth,
,deck_17,CrisMTG77,
,deck_18,PharmD_MTG,
,deck_19,DemianDesposito10,
,deck_20,NotSnype315,
,deck_21,BI8BO,
,deck_22,Goerajaponica,
,deck_23,Infinitea,
,deck_24,TokaraStrait,
,deck_25,Kakoijelev,
,deck_26,AbelMolto,
,deck_27,Mistakenn,
,deck_28,Wingspan,
,deck_29,Damarcas,
