event_id,deck_id,player_name,rank,deck_part,card_name,quantity
,deck_18,Kotte89,,mainboard,Abandoned Air Temple,4
,deck_18,Kotte89,,mainboard,Sage of the Skies,4
,deck_18,Kotte89,,mainboard,Curious Farm Animals,1
,deck_18,Kotte89,,mainboard,"Haliya, Guided by Light",4
,deck_18,Kotte89,,mainboard,Get Lost,4
,deck_18,Kotte89,,mainboard,Nurturing Pixie,3
,deck_18,Kotte89,,mainboard,Cosmogrand Zenith,3
,deck_18,Kotte89,,mainboard,Seam Rip,4
,deck_18,Kotte89,,mainboard,Springleaf Drum,1
,deck_18,Kotte89,,mainboard,Starfield Shepherd,4
,deck_18,Kotte89,,mainboard,Soulstone Sanctuary,1
,deck_18,Kotte89,,mainboard,Springleaf Drum,2
,deck_18,Kotte89,,mainboard,Figure of Fable,2
,deck_18,Kotte89,,mainboard,Plains,7
,deck_18,Kotte89,,mainboard,Voice of Victory,3
,deck_18,Kotte89,,mainboard,"Momo, Friendly Flier",4
,deck_18,Kotte89,,mainboard,Plains,6
,deck_18,Kotte89,,mainboard,Plains,3
,deck_18,Kotte89,,sideboard,Clarion Conqueror,4
,deck_18,Kotte89,,sideboard,Sheltered by Ghosts,3
,deck_18,Kotte89,,sideboard,Ademi of the Silkchutes,2
,deck_18,Kotte89,,sideboard,Requisition Raid,2
,deck_18,Kotte89,,sideboard,Rest in Peace,4
