archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Golgari Order,0.57142857142857,7,0.18,0.9,/Legacy/golgari-order
Sultai Leovold,0.42857142857143,7,0.1,0.82,/Legacy/sultai-leovold
Mono Black Necro,0.71428571428571,7,0.29,0.96,/Legacy/mono-black-necro
Aluren,0.5,6,0.12,0.88,/Legacy/aluren
Esper Control,0.66666666666667,6,0.22,0.96,/Legacy/esper-control
Esper Tempo,0.33333333333333,6,0.04,0.78,/Legacy/esper-tempo
Sultai Ritual,0.33333333333333,6,0.04,0.78,/Legacy/sultai-ritual
White Dreadnought,0.4,5,0.05,0.85,/Legacy/white-dreadnought
Bant Order,0.2,5,0.01,0.72,/Legacy/bant-order
Mind's Desire,0.8,5,0.28,0.99,/Legacy/mind-s-desire
Mono Black Dauthi,0.4,5,0.05,0.85,/Legacy/mono-black-dauthi
Sultai Tempo,0.4,5,0.05,0.85,/Legacy/sultai-tempo
Humans,0.75,4,0.19,0.99,/Legacy/humans
Artifacts Aggro,0.66666666666667,3,0.09,0.99,/Legacy/artifacts-aggro
Bant Yorion,0.33333333333333,3,0.01,0.91,/Legacy/bant-yorion
Rakdos Channeler,1.0,3,0.29,1.0,/Legacy/rakdos-channeler
Mono Black Demons,0.66666666666667,3,0.09,0.99,/Legacy/mono-black-demons
Bant Control,1.0,2,0.16,1.0,/Legacy/bant-control
