event_id,deck_id,player_name,rank,deck_part,card_name,quantity
,deck_20,NotSnype315,,mainboard,Undercity Sewers,2
,deck_20,NotSnype315,,mainboard,Shoot the Sheriff,1
,deck_20,NotSnype315,,mainboard,Harbinger of the Seas,2
,deck_20,NotSnype315,,mainboard,Psychic Frog,4
,deck_20,NotSnype315,,mainboard,Sink into Stupor,2
,deck_20,NotSnype315,,mainboard,Gloomlake Verge,1
,deck_20,NotSnype315,,mainboard,Abhorrent Oculus,4
,deck_20,NotSnype315,,mainboard,Watery Grave,2
,deck_20,NotSnype315,,mainboard,Thought Scour,4
,deck_20,NotSnype315,,mainboard,Spell Snare,3
,deck_20,NotSnype315,,mainboard,Counterspell,4
,deck_20,NotSnype315,,mainboard,Flooded Strand,2
,deck_20,NotSnype315,,mainboard,Polluted Delta,4
,deck_20,NotSnype315,,mainboard,Bloodstained Mire,1
,deck_20,NotSnype315,,mainboard,Fatal Push,4
,deck_20,NotSnype315,,mainboard,Misty Rainforest,1
,deck_20,NotSnype315,,mainboard,Verdant Catacombs,1
,deck_20,NotSnype315,,mainboard,Swamp,1
,deck_20,NotSnype315,,mainboard,Force of Negation,4
,deck_20,NotSnype315,,mainboard,Unearth,4
,deck_20,NotSnype315,,mainboard,Island,2
,deck_20,NotSnype315,,mainboard,Murktide Regent,3
,deck_20,NotSnype315,,mainboard,Consider,3
,deck_20,NotSnype315,,mainboard,"Otawara, Soaring City",1
,deck_20,NotSnype315,,sideboard,Stern Scolding,2
,deck_20,NotSnype315,,sideboard,Consign to Memory,4
,deck_20,NotSnype315,,sideboard,Engineered Explosives,2
,deck_20,NotSnype315,,sideboard,Nihil Spellbomb,2
,deck_20,NotSnype315,,sideboard,Surgical Extraction,2
,deck_20,NotSnype315,,sideboard,Mystical Dispute,3
