event_id,deck_id,player_name,rank,deck_part,card_name,quantity
,deck_4,DFrank,,mainboard,Primeval Titan,4
,deck_4,DFrank,,mainboard,Mirrorpool,1
,deck_4,DFrank,,mainboard,Amulet of Vigor,4
,deck_4,DFrank,,mainboard,"Boseiju, Who Endures",3
,deck_4,DFrank,,mainboard,Echoing Deeps,1
,deck_4,DFrank,,mainboard,Hanweir Battlements,1
,deck_4,DFrank,,mainboard,Lotus Field,2
,deck_4,DFrank,,mainboard,"Otawara, Soaring City",1
,deck_4,DFrank,,mainboard,Shifting Woodland,1
,deck_4,DFrank,,mainboard,Scapeshift,4
,deck_4,DFrank,,mainboard,Summoner's Pact,3
,deck_4,DFrank,,mainboard,Urza's Saga,4
,deck_4,DFrank,,mainboard,Vesuva,1
,deck_4,DFrank,,mainboard,Aftermath Analyst,2
,deck_4,DFrank,,mainboard,Spelunking,4
,deck_4,DFrank,,mainboard,Tolaria West,1
,deck_4,DFrank,,mainboard,Urza's Cave,1
,deck_4,DFrank,,mainboard,Arboreal Grazer,4
,deck_4,DFrank,,mainboard,Crumbling Vestige,4
,deck_4,DFrank,,mainboard,Gruul Turf,4
,deck_4,DFrank,,mainboard,Malevolent Rumble,4
,deck_4,DFrank,,mainboard,Simic Growth Chamber,2
,deck_4,DFrank,,mainboard,Forest,3
,deck_4,DFrank,,mainboard,Northampton Farm,1
,deck_4,DFrank,,sideboard,Bojuka Bog,1
,deck_4,DFrank,,sideboard,Force of Vigor,2
,deck_4,DFrank,,sideboard,Six,1
,deck_4,DFrank,,sideboard,"Boseiju, Who Endures",1
,deck_4,DFrank,,sideboard,Dismember,2
,deck_4,DFrank,,sideboard,Vampires' Vengeance,3
,deck_4,DFrank,,sideboard,Vexing Bauble,2
,deck_4,DFrank,,sideboard,Soulless Jailer,3
