event_id,deck_id,player_name,rank,deck_part,card_name,quantity
12834474,58467152,deleon91,2,mainboard,Dalkovan Encampment,3
12834474,58467152,deleon91,2,mainboard,Shocking Sharpshooter,4
12834474,58467152,deleon91,2,mainboard,Sunbillow Verge,4
12834474,58467152,deleon91,2,mainboard,"Ojer Axonil, Deepest Might",3
12834474,58467152,deleon91,2,mainboard,Fanatical Firebrand,4
12834474,58467152,deleon91,2,mainboard,Inspiring Vantage,4
12834474,58467152,deleon91,2,mainboard,Mountain,7
12834474,58467152,deleon91,2,mainboard,Seam Rip,2
12834474,58467152,deleon91,2,mainboard,Howlsquad Heavy,4
12834474,58467152,deleon91,2,mainboard,Stadium Headliner,4
12834474,58467152,deleon91,2,mainboard,Fountainport,1
12834474,58467152,deleon91,2,mainboard,Warleader's Call,4
12834474,58467152,deleon91,2,mainboard,Sacred Foundry,4
12834474,58467152,deleon91,2,mainboard,Torch the Tower,2
12834474,58467152,deleon91,2,mainboard,Burst Lightning,1
12834474,58467152,deleon91,2,mainboard,Burst Lightning,3
12834474,58467152,deleon91,2,mainboard,Voice of Victory,4
12834474,58467152,deleon91,2,mainboard,"Raphael, Tough Turtle",2
12834474,58467152,deleon91,2,sideboard,Rest in Peace,3
12834474,58467152,deleon91,2,sideboard,Magebane Lizard,4
12834474,58467152,deleon91,2,sideboard,Exorcise,2
12834474,58467152,deleon91,2,sideboard,Sear,4
12834474,58467152,deleon91,2,sideboard,Sunspine Lynx,2
