archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Temur Songcrafter,0.36842105263158,19,0.16,0.62,/Standard/temur-songcrafter
4 Color Yuna,0.52631578947368,19,0.29,0.76,/Standard/4-color-yuna
Mono White Shepherd,0.47368421052632,19,0.24,0.71,/Standard/mono-white-shepherd
Temur Stormsplitter,0.26315789473684,19,0.09,0.51,/Standard/temur-stormsplitter
Mono White Angels,0.33333333333333,18,0.13,0.59,/Standard/mono-white-angels
Jeskai Duplication,0.33333333333333,18,0.13,0.59,/Standard/jeskai-duplication
Jeskai Dragons,0.41176470588235,17,0.18,0.67,/Standard/jeskai-dragons
Jeskai Aggro,0.5,16,0.25,0.75,/Standard/jeskai-aggro
4 Color Roots,0.5,14,0.23,0.77,/Standard/4-color-roots
Mardu Sacrifice,0.35714285714286,14,0.13,0.65,/Standard/mardu-sacrifice
Bant Landfall,0.71428571428571,14,0.42,0.92,/Standard/bant-landfall
Mono Blue Tempo,0.46153846153846,13,0.19,0.75,/Standard/mono-blue-tempo
Grixis Control,0.38461538461538,13,0.14,0.68,/Standard/grixis-control
Orzhov Aggro,0.38461538461538,13,0.14,0.68,/Standard/orzhov-aggro
Mono Black Sacrifice,0.53846153846154,13,0.25,0.81,/Standard/mono-black-sacrifice
Random Encounter,0.23076923076923,13,0.05,0.54,/Standard/random-encounter
Abzan Ketramose,0.23076923076923,13,0.05,0.54,/Standard/abzan-ketramose
Dimir Elementals,0.30769230769231,13,0.09,0.61,/Standard/dimir-elementals
Jeskai Siege,0.69230769230769,13,0.39,0.91,/Standard/jeskai-siege
Mono Green Stompy,0.33333333333333,12,0.1,0.65,/Standard/mono-green-stompy
Temur Midrange,0.25,12,0.05,0.57,/Standard/temur-midrange
Mardu Control,0.33333333333333,12,0.1,0.65,/Standard/mardu-control
Abzan Control,0.5,12,0.21,0.79,/Standard/abzan-control
Mono Blue Flash,0.33333333333333,12,0.1,0.65,/Standard/mono-blue-flash
Jeskai Prowess,0.45454545454545,11,0.17,0.77,/Standard/jeskai-prowess
