event_id,deck_id,player_name,rank
12834469,58466746,DeathInParis,32
12834469,58466791,DragonFodder,26
12834469,58466810,_Batutinha_,7
12834469,58466772,Misplacedginger,8
12834469,58466832,salad,23
12834469,58466763,O_danielakos,4
12834469,58466815,Scappie,2
12834469,58466769,Imaeda,17
12834469,58466725,Laplasjan,22
12834469,58466761,ejk,29
12834469,58466781,CMack_,1
12834469,58466790,Mistakenn,9
12834469,58466793,justAlice,20
12834469,58466814,xfile,16
12834469,58466740,Xenowan,18
12834469,58466813,Walker735,24
12834469,58466794,NMT_Sco94,11
12834469,58466786,jvidarte,27
12834469,58466768,Dudarudi,12
12834469,58466825,GinkoHS,5
12834469,58466828,Corkyboyy,14
12834469,58466782,Sorathrix,6
12834469,58466835,FynnOfBlood,31
12834469,58466766,MeninoNey,10
12834469,58466770,DobleP,19
12834469,58466826,fazparte,13
12834469,58466760,groot02,25
12834469,58466811,Odin2015,28
12834469,58466762,GLSwadow,21
12834469,58466767,Galashev29,30
12834469,58466723,HolaChico,3
12834469,58466821,Minivan_of_Jeskai,15
